_id,objectid,fld_ar_id,fld_zone,floodway,sfha_tf,static_bfe,v_datum,depth,len_unit,velocity,vel_unit,ar_revert,bfe_revert,dep_revert,source_cit,global_id,shape_length,shape_area
5244,163,2156,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,845d06ec-ee5f-4c34-9f4b-43ad042cbb20,39.7671164419089,35.203125
5245,164,2168,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,86ebf72f-84e7-4e22-b2f7-be39fea634d5,18.1656098596716,5.0625
5246,165,2169,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,b229e1a9-d563-4437-b6ec-3d314fca5540,30.1090175235948,4.28125
5247,166,2170,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,5acfc1c8-6326-469e-950c-da87eb8734ca,32.1819118828043,4.015625
5248,167,2171,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,e39b5307-f3e9-4545-90f1-20ae689e0d97,20.2093349500284,3.31640625
5249,168,2190,AE,FLOODWAY,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,7b243527-55ab-476c-a67a-b406c2beca44,5004.34235642002,165632.4140625
5250,169,2185,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,597be7ce-f935-49ce-a179-9010d3b95a1c,9910.80808974675,128191.4453125
5251,170,2193,AE, ,T,732,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,dc45c4ba-9865-45b1-9511-0cc685cf60fc,421.280548937522,4132.96875
5252,171,2194,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,bfe60a91-aa0e-42e3-9a3c-893a3e7b05a9,1597.79090844972,4266.92578125
5253,172,2195,AE, ,T,731,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,04a2f0d5-55f0-4601-9f2d-bb2395002431,597.458185609906,4693.953125
5254,173,2189,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,d4dba31b-0c5f-4de5-ad7a-732d6158b7eb,1646.25688332257,18022.89453125
5255,175,2203,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1a70c666-7817-4d47-921c-e5e4ddb9a688,23828.278639299,560091.19921875
5256,176,2036,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,543a57a9-5df9-4b61-9f2b-79de2d431bee,7214.77094929577,241950.4453125
5257,177,2124,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,d2023a3b-e102-4cc9-9681-9ed05823a81b,3882.4600754446,98090.05078125
5258,178,2138,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,8c123158-40d5-4626-a821-3ad3ab9f05f2,195.068309169604,1998.54296875
5259,179,2143,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,80d840fd-c136-4b4e-93f9-6b2a88e42d2f,470.914638386434,762.3125
5260,180,2228,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,fd67734b-bc08-48ba-bcd2-7a0bbb1c2fb6,2420.64431159061,14640.5546875
5261,182,2238,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,6d6b24e1-1964-492c-9acf-8cc5b6ee80a6,20064.5164750477,507011.265625
5262,183,2239,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,db4a85a0-75a9-46e8-95ac-dcd1abfa43ca,9261.83589265276,361443.3125
5263,201,2503,AE, ,T,727,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,91485a37-cbf6-4b65-867d-94ddf682933a,370.586977586019,2519.703125
5264,203,3285,AE,FLOODWAY,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3d4ed760-f27c-45b6-8208-9200c7859e5c,18956.4207393396,486974.765625
